Gene Symbol,Name,Tier,Somatic,Germline,Tumour Types(Somatic),Tissue Type,Molecular Genetics,Role in Cancer,Mutation Types
NFE2L2,nuclear factor (erythroid-derived 2)-like 2 (NRF2),1,yes,No,"NSCLC, HNSCC",E,Dom,"oncogene, TSG",Mis
NFIB,nuclear factor I/B,1,yes,No,"adenoid cystic carcinoma, lipoma",E,Dom,fusion,Translocation
NFKB2,nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100),1,yes,No,B-NHL,L,Dom,"oncogene, TSG, fusion",Translocation
NFKBIE,"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon",1,yes,No,"CLL, desmoplastic melanoma","L, E",Dom/Rec,TSG,"F, Mis"
NIN,ninein (GSK3B interacting protein),1,yes,No,MPN,L,Dom,fusion,Translocation
NKX2-1,NK2 homeobox 1,1,yes,No,NSCLC,E,Dom,"oncogene, TSG",A
NONO,"non-POU domain containing, octamer-binding",1,yes,No,papillary renal,E,Dom,fusion,Translocation
NOTCH1,"Notch homolog 1, translocation-associated (Drosophila) (TAN1)",1,yes,No,"T-ALL, breast, bladder, skin SCC, lung SCC, head and neck SCC","L, E",Dom/Rec,"oncogene, TSG, fusion","Translocation, Mis, O"
NOTCH2,Notch homolog 2,1,yes,No,"marginal zone lymphoma, DLBCL, bladder","L, E",Dom/Rec,"oncogene, TSG","N, F, Mis"
NPM1,"nucleophosmin (nucleolar phosphoprotein B23, numatrin)",1,yes,No,"NHL, APL, AML",L,Dom,"oncogene, fusion","Translocation, F"
NR4A3,"nuclear receptor subfamily 4, group A, member 3 (NOR1)",1,yes,No,extraskeletal myxoid chondrosarcoma,M,Dom,"oncogene, fusion",Translocation
NRAS,neuroblastoma RAS viral (v-ras) oncogene homolog,1,yes,No,"melanoma, MM, AML, thyroid","L, E",Dom,oncogene,Mis
NRG1,neuregulin 1,1,yes,No,NSCLC,E,Dom,"TSG, fusion",Translocation
NSD1,nuclear receptor binding SET domain protein 1,1,yes,No,AML,L,Dom,fusion,Translocation
NT5C2,"5'-nucleotidase, cytosolic II",1,yes,No,relapse ALL,L,Dom,oncogene,Mis
NTHL1,nth like DNA glycosylase 1,2,No,yes,CRC,E,NA,TSG,"N, S"
NTRK1,"neurotrophic tyrosine kinase, receptor, type 1",1,yes,No,"papillary thyroid, Spitzoid tumour",E,Dom,"oncogene, TSG, fusion","Translocation, A"
NTRK3,"neurotrophic tyrosine kinase, receptor, type 3",1,yes,No,"congenital fibrosarcoma, secretory breast","E, M",Dom,"oncogene, fusion",Translocation
NUMA1,nuclear mitotic apparatus protein 1,1,yes,No,APL,L,Dom,fusion,Translocation
NUP214,nucleoporin 214kDa (CAN),1,yes,No,"AML, T-ALL",L,Dom,fusion,Translocation
NUP98,nucleoporin 98kDa,1,yes,No,AML,L,Dom,"oncogene, fusion",Translocation
NUTM1,"NUT midline carcinoma, family member 1",1,yes,No,lethal midline carcinoma,E,Dom,"oncogene, fusion",Translocation
NUTM2A,NUT family member 2A,1,yes,No,endometrial stromal sarcoma,M,Dom,fusion,Translocation
NUTM2B,NUT family member 2B,1,yes,No,endometrial stromal sarcoma,M,Dom,fusion,Translocation
OLIG2,oligodendrocyte lineage transcription factor 2 (BHLHB1),1,yes,No,T-ALL,L,Dom,"oncogene, fusion",Translocation
OMD,osteomodulin,2,yes,No,aneurysmal bone cyst,M,Dom,fusion,Translocation
P2RY8,"purinergic receptor P2Y, G-protein coupled, 8",1,yes,No,"B-ALL, Down syndrome associated ALL",L,Dom,"oncogene, fusion",Translocation
PABPC1,poly(A) binding protein cytoplasmic 1,2,yes,No,"HNSCC, biliary tract carcinoma",E,NA,"oncogene, TSG","Mis, F"
PAFAH1B2,"platelet-activating factor acetylhydrolase, isoform Ib, beta subunit 30kDa",1,yes,No,MLCLS,L,Dom,fusion,Translocation
PALB2,partner and localizer of BRCA2,1,No,yes,,"L, O, E",Rec,TSG,"F, N, Mis"
PAX3,paired box gene 3,1,yes,No,alveolar rhabdomyosarcoma,M,Dom,"oncogene, fusion",Translocation
PAX5,paired box gene 5 (B-cell lineage specific activator protein),1,yes,No,"NHL, ALL, B-ALL",L,Dom,"oncogene, TSG, fusion","Translocation, Mis, D, F, S"
PAX7,paired box gene 7,1,yes,No,alveolar rhabdomyosarcoma,M,Dom,fusion,Translocation
PAX8,paired box gene 8,1,yes,No,follicular thyroid,E,Dom,fusion,Translocation
PBRM1,polybromo 1,1,yes,No,"clear cell renal carcinoma, breast",E,Rec,TSG,"Mis, N, F, S, D, O"
PBX1,pre-B-cell leukemia transcription factor 1,1,yes,No,"pre B-ALL, myoepithelioma","L, M",Dom,"oncogene, fusion",Translocation
PCBP1,poly(rC) binding protein 1,2,yes,No,CRC,E,NA,,Mis
PCM1,pericentriolar material 1  (PTC4),1,yes,No,"papillary thyroid, CML, MPN","E, L",Dom,fusion,Translocation
PDCD1LG2,programmed cell death 1 ligand 2,1,yes,No,"PMBL, Hodgkin lymphoma",L,Dom,"oncogene, fusion",Translocation
PDE4DIP,phosphodiesterase 4D interacting protein (myomegalin),1,yes,No,MPN,L,Dom,fusion,Translocation
PDGFB,platelet-derived growth factor beta polypeptide (simian sarcoma viral (v-sis) oncogene homolog),1,yes,No,DFSP,M,Dom,"oncogene, fusion",Translocation
PDGFRA,"platelet-derived growth factor, alpha-receptor",1,yes,yes,"GIST, idiopathic hypereosinophilic syndrome, paediatric glioblastoma","L, M, O",Dom,"oncogene, fusion","Mis, O, Translocation"
PDGFRB,"platelet-derived growth factor receptor, beta polypeptide",1,yes,No,"MPN, AML, CMML, CML",L,Dom,"oncogene, fusion",Translocation
PER1,period homolog 1 (Drosophila),1,yes,No,"AML, CMML",L,Dom,"TSG, fusion",Translocation
PHF6,PHD finger protein 6,1,yes,No,ETP ALL,L,Rec,TSG,"F, N, S, Mis"
PHOX2B,paired-like homeobox 2b,1,yes,yes,neuroblastoma,O,Rec,TSG,"Mis, F"
PICALM,phosphatidylinositol binding clathrin assembly protein (CALM),1,yes,No,"T-ALL, AML",L,Dom,fusion,Translocation
PIK3CA,"phosphoinositide-3-kinase, catalytic, alpha polypeptide",1,yes,No,"colorectal, gastric, glioblastoma, breast","E, O",Dom,oncogene,Mis
PIK3CB,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta",1,yes,No,"SCC, NSCLC",E,NA,oncogene,Mis
PIK3R1,"phosphoinositide-3-kinase, regulatory subunit 1 (alpha)",1,yes,No,"glioblastoma, ovarian, colorectal","E, O",Rec,TSG,"Mis, F, O"
PIM1,pim-1 oncogene,1,yes,No,NHL,L,Dom,"oncogene, fusion","Translocation, Mis"
PLAG1,pleiomorphic adenoma gene 1,1,yes,No,"salivary adenoma, lipoblastoma",E,Dom,"oncogene, fusion",Translocation
PLCG1,"phospholipase C, gamma 1",1,yes,No,angiosarcoma,E,Dom,"oncogene, fusion",Mis
PML,promyelocytic leukemia,1,yes,No,"APL, ALL",L,Dom,"TSG, fusion",Translocation
PMS1,PMS1 postmeiotic segregation increased 1 (S. cerevisiae),2,No,yes,,E,Rec,,"Mis, N"
PMS2,PMS2 postmeiotic segregation increased 2 (S. cerevisiae),1,No,yes,,E,Rec,TSG,"Mis, N, F"
POLD1,"DNA polymerase delta 1, catalytic subunit",1,yes,yes,CRC,E,NA,TSG,Mis
POLE,"polymerase (DNA directed), epsilon, catalytic subunit",1,yes,yes,"colorectal carcinoma, endometrioid carcinoma, stomach carcinoma, skin cancer",E,Rec,TSG,Mis
POLG,"DNA polymerase gamma, catalytic subunit",2,yes,No,CRC,E,NA,TSG,"N, O"
POLQ,DNA polymerase theta,1,yes,yes,oral SCC,E,NA,"oncogene, TSG",Mis
POT1,protection of telomeres 1,1,yes,No,CLL,L,Dom,TSG,"Mis, N"
POU2AF1,"POU domain, class 2, associating factor 1 (OBF1)",1,yes,No,NHL,L,Dom,"oncogene, fusion",Translocation
POU5F1,"POU domain, class 5, transcription factor 1",1,yes,No,sarcoma,M,Dom,"oncogene, fusion",Translocation
PPARG,"peroxisome proliferative activated receptor, gamma",1,yes,No,follicular thyroid,E,Dom,"TSG, fusion",Translocation
PPFIBP1,"PTPRF interacting protein, binding protein 1 (liprin beta 1)",1,yes,No,"Spitzoid tumour, inflammatory myofibroblastic tumour","E, M",Dom,fusion,Translocation
PPM1D,"protein phosphatase, Mg2+/Mn2+ dependent 1D",1,yes,No,"glioma, ovarian cancer, breast cancer",E,Dom,oncogene,"A, Mis, N, F"
PPP2R1A,"protein phosphatase 2, regulatory subunit A, alpha",1,yes,No,clear cell ovarian carcinoma,E,Dom,TSG,Mis
PPP6C,"protein phosphatase 6, catalytic subunit",1,yes,No,melanoma,E,Dom,TSG,"Mis, N"
PRCC,papillary renal cell carcinoma (translocation-associated),1,yes,No,papillary renal,E,Dom,fusion,Translocation
PRDM1,"PR domain containing 1, with ZNF domain",1,yes,No,DLBCL,L,Rec,TSG,"D, N, Mis, F, S"
PRDM16,PR domain containing 16,1,yes,No,"MDS, AML",L,Dom,"oncogene, fusion",Translocation
PRDM2,PR/SET domain 2,2,yes,No,"glioma, colon adenocarcinoma, gastric carcinoma, ovarian carcinoma, HNSCC","E, O",NA,TSG,"O, F"
PREX2,"phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2",1,yes,No,"melanoma, pancreatic ductal adenocarcinoma",E,Dom,oncogene,"Mis, N"
PRF1,perforin 1 (pore forming protein),1,No,yes,,L,Rec,TSG,M
PRKACA,protein kinase cAMP-activated catalytic subunit alpha,1,yes,No,"fibrolamellar hepatocellular carcinoma, cortisol secreting adrenal adenoma",E,Dom,oncogene,"Translocation, Mis, N"
PRKAR1A,"protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)",1,yes,yes,papillary thyroid,"E, M",Dom/Rec,"oncogene, TSG, fusion","Translocation, Mis, N, F, S"
PRKCB,protein kinase C beta,2,yes,No,adult T-cell lymphoma-leukaemia,L,NA,,Mis
PRPF40B,pre-mRNA processing factor 40 homolog B,2,yes,No,"melanoma, colon carcinoma, MDS","E, L",NA,,"F, N"
PRRX1,paired related homeobox 1,1,yes,No,AML,L,Dom,fusion,Translocation
PSIP1,PC4 and SFRS1 interacting protein 1 (LEDGF),1,yes,No,AML,L,Dom,"oncogene, fusion",Translocation
PTCH1,Homolog of Drosophila Patched gene,1,yes,yes,"skin basal cell, medulloblastoma","E, M",Rec,TSG,"Mis, N, F, S"
PTEN,phosphatase and tensin homolog gene,1,yes,yes,"glioma, prostate, endometrial","L, E, M, O",Dom,TSG,"D, Mis, N, F, S"
PTK6,protein tyrosine kinase 6,1,yes,No,"renal, gastric, head and neck, ovarian, others",E,Dom,"oncogene, TSG","Mis, N"
PTPN11,"protein tyrosine phosphatase, non-receptor type 11",1,yes,No,"JMML, AML, MDS",L,Dom,oncogene,Mis
PTPN13,"protein tyrosine phosphatase, non-receptor type 13",1,yes,yes,"lung, NSCLC, gastric, peritoneal carcinomatosis",E,Rec,TSG,"Mis, N"
PTPN6,"protein tyrosine phosphatase, non-receptor type 6",2,yes,No,DLBCL,L,NA,TSG,Mis
PTPRB,"protein tyrosine phosphatase, receptor type, B",1,yes,No,angiosarcoma,E,Rec,TSG,"N, Mis, S, F"
PTPRC,"protein tyrosine phosphatase, receptor type, C",1,yes,No,T-ALL,L,Rec,TSG,"Mis, N, S"
PTPRD,"protein tyrosine phosphatase, receptor type D",2,yes,No,"lung cancer, kidney cancer, HNSCC, glioblastoma","E, O",NA,TSG,"D, N, Mis"
PTPRK,"protein tyrosine phosphatase, receptor type, K",1,yes,No,colorectal,E,Dom,"TSG, fusion",Translocation
PTPRT,"protein tyrosine phosphatase, receptor type T",1,yes,No,"HNSCC, colorectal cancer, gastric cancer, lung cancer, melanoma",E,NA,TSG,"Mis, N"
PWWP2A,PWWP domain containing 2A,2,yes,No,Spitzoid tumour,E,Dom,fusion,Translocation
QKI,"QKI, KH domain containing, RNA binding",1,yes,No,"angiocentric glioma, colorectal cancer","E, O",Dom,"oncogene, TSG","Mis, F, Translocation"
RABEP1,"rabaptin, RAB GTPase binding effector protein 1",1,yes,No,CMML,L,Dom,fusion,Translocation
RAC1,"ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)",1,yes,No,"melanoma, carcinoma",E,Dom,oncogene,"Mis, F"
RAD17,RAD17 checkpoint clamp loader component,2,yes,No,"lymphoma, colon cancer","E, L",NA,TSG,D
RAD21,RAD21 homolog (S. pombe),1,yes,No,"AML, endometrium, colorectal, lung","L, E",Rec,"oncogene, TSG","Mis, N, F"
RAD51B,RAD51 paralog B,1,yes,No,"lipoma, uterine leiomyoma",M,Dom,"TSG, fusion",Translocation
RAF1,v-raf-1 murine leukemia viral oncogene homolog 1,1,yes,No,"pilocytic astrocytoma, prostate","O, E",Dom,"oncogene, fusion","Translocation, A"
RALGDS,ral guanine nucleotide dissociation stimulator,2,yes,No,"PMBL, Hodgkin lymphoma,",L,Dom,fusion,Translocation
RANBP2,RAN binding protein 2,1,yes,No,inflammatory myofibroblastic tumour,M,Dom,"TSG, fusion",Translocation
RAP1GDS1,"RAP1, GTP-GDP dissociation stimulator 1",1,yes,No,T-ALL,L,Dom,"oncogene, fusion",Translocation
RARA,"retinoic acid receptor, alpha",1,yes,No,APL,L,Dom,"oncogene, fusion",Translocation
RB1,retinoblastoma gene,1,yes,yes,"retinoblastoma, sarcoma, breast, small cell lung carcinoma","L, E, M, O",Rec,TSG,"D, Mis, N, F, S"
RBM10,RNA binding motif protein 10,1,yes,No,lung adenocarcinoma,E,Rec/X,TSG,"Mis, F, N"
RBM15,RNA binding motif protein 15,1,yes,No,acute megakaryocytic leukaemia,L,Dom,fusion,Translocation
RECQL4,RecQ protein-like 4,1,No,yes,,M,Rec,"oncogene, TSG","N, F, S"
REL,v-rel reticuloendotheliosis viral oncogene homolog (avian),1,yes,No,Hodgkin lymphoma,L,Dom,oncogene,A
RET,ret proto-oncogene,1,yes,yes,"medullary thyroid, papillary thyroid, pheochromocytoma, NSCLC, Spitzoid tumour","E, O",Dom,"oncogene, fusion","Translocation, Mis, N, F"
RFWD3,ring finger and WD repeat domain 3,2,yes,yes,lung cancer,E,NA,TSG,D
RGPD3,RANBP2-like and GRIP domain containing 3,2,yes,No,endometrioid adenocarcinoma,E,NA,,Mis
RGS7,regulator of G protein signaling 7,2,yes,No,melanoma,E,NA,,Mis
RHOA,ras homolog family member A,1,yes,No,"diffuse gastric, T cell lymphomas, paediatric Burkitt lymphoma","E, L",Dom,"oncogene, TSG","Mis, F, O"
RHOH,ras homolog family member H,1,yes,No,NHL,L,Dom,"TSG, fusion",Translocation
RMI2,RecQ mediated genome instability 2,1,yes,No,"PMBL, Hodgkin lymphoma",L,Dom,"TSG, fusion",Translocation
RNF213,ring finger protein 213,1,yes,No,ALCL,L,Dom,fusion,Translocation
RNF43,ring finger protein 43,1,yes,No,"cholangiocarcinoma, ovary, pancreas",E,Rec,TSG,"Mis, N, F, S"
ROBO2,roundabout guidance receptor 2,2,yes,No,"colorectal adenocarcinoma, melanoma",E,NA,TSG,F
ROS1,v-ros UR2 sarcoma virus oncogene homolog 1 (avian),1,yes,No,"glioblastoma, NSCLC, Spitzoid tumour, cholangiocarcinoma, borderline ovarian","O, E",Dom,"oncogene, fusion",Translocation
RPL10,ribosomal protein L10,1,yes,No,T-ALL,L,Dom,TSG,Mis
RPL22,ribosomal protein L22 (EAP),1,yes,No,"AML, CML",L,Dom,"TSG, fusion",Translocation
RPL5,ribososomal protein L5,1,yes,No,T-ALL,L,Dom,TSG,"Mis, N, F"
RPN1,ribophorin I,1,yes,No,AML,L,Dom,fusion,Translocation
RSPO2,R-spondin 2,1,yes,No,colorectal,E,Dom,"TSG, fusion",Translocation
RSPO3,R-spondin 3,1,yes,No,colorectal,E,Dom,"oncogene, fusion",Translocation
RUNDC2A,RUN domain containing 2A,2,yes,No,"PMBL, Hodgkin lymphoma",L,Dom,fusion,Translocation
RUNX1,runt-related transcription factor 1  (AML1),1,yes,No,"AML, pre B-ALL, T-ALL",L,Dom,"oncogene, TSG, fusion",Translocation
RUNX1T1,"runt-related transcription factor 1; translocated to, 1 (cyclin D-related)",1,yes,No,AML,L,Dom,"oncogene, TSG, fusion",Translocation
S100A7,S100 calcium binding protein A7,2,yes,No,"melanoma, T-cell lymphoma","E, L",NA,fusion,"Mis, Translocation"
SALL4,spalt like transcription factor 4,1,yes,No,"colorectal cancer, breast cancer, prostate cancer, glioblastoma, melanoma",E,NA,oncogene,"Mis, F"
SBDS,Shwachman-Bodian-Diamond syndrome protein,1,No,yes,,L,Rec,TSG,"F, N, O"
SDC4,syndecan 4,1,yes,No,NSCLC,E,Dom,fusion,Translocation
SDHA,"succinate dehydrogenase complex, subunit A, flavoprotein (Fp)",1,yes,yes,"GIST, paraganglioma","M, O",Rec,TSG,"Mis, N"
SDHAF2,succinate dehydrogenase complex assembly factor 2,1,No,yes,,M,Rec,TSG,M
SDHB,"succinate dehydrogenase complex, subunit B, iron sulfur (Ip)",1,No,yes,,O,Rec,TSG,"Mis, N, F"
SDHC,"succinate dehydrogenase complex, subunit C, integral membrane protein, 15kDa",1,No,yes,,O,Rec,TSG,"Mis, N, F"
SDHD,"succinate dehydrogenase complex, subunit D, integral membrane protein",1,No,yes,,O,Rec,TSG,"Mis, N, F, S"
5-Sep,septin 5,2,yes,No,AML,L,Dom,fusion,Translocation
6-Sep,septin 6,2,yes,No,AML,L,Dom,fusion,Translocation
9-Sep,septin 9,2,yes,No,AML*,L,Dom,fusion,Translocation
SET,SET translocation,1,yes,No,T-ALL,L,Dom,"oncogene, fusion",Translocation
SETBP1,SET binding protein 1,1,yes,yes,"aCML, sAML, MDS/MPN-U, CMML, JMML",L,Dom,"oncogene, fusion","Mis, Translocation"
SETD1B,SET domain containing 1B,2,yes,No,"CRC, endometrium",E,NA,TSG,"D, F"
SETD2,SET domain containing 2,1,yes,No,clear cell renal carcinoma,E,Rec,TSG,"N, F, S, Mis"
SETDB1,SET domain bifurcated 1,2,yes,No,malignant mesothelioma,E,NA,oncogene,"F, Mis"
SF3B1,"splicing factor 3b, subunit 1, 155kDa",1,yes,No,myelodysplastic syndrome,L,Dom,oncogene,Mis
SFPQ,splicing factor proline/glutamine rich(polypyrimidine tract binding protein associated),1,yes,No,papillary renal,E,Dom,"TSG, fusion",Translocation
SFRP4,secreted frizzled related protein 4,1,yes,No,"colorectal cancer, melanoma, SCC, gastric cancer, oesophageal SCC",E,Rec,TSG,Mis
SGK1,serum/glucocorticoid regulated kinase 1,2,yes,No,Nodular lymphocyte predominant Hodgkin lymphoma,L,NA,oncogene,Mis
SH2B3,SH2B adaptor protein 3,1,yes,No,"MPN, sAML, erythrocytosis, B-ALL",L,Rec,TSG,"Mis, F, N"
SH3GL1,SH3-domain GRB2-like 1 (EEN),1,yes,No,AL,L,Dom,"oncogene, fusion",Translocation
SIRPA,signal regulatory protein alpha,2,yes,No,"HNSCC, colorectal cancer, Lung SCC",E,NA,TSG,"O, F"
SIX1,SIX homeobox 1,1,yes,No,Wilms tumour,O,NA,oncogene,Mis
SIX2,SIX homeobox 2,2,yes,No,Wilms tumour,O,NA,oncogene,Mis
SKI,SKI proto-oncogene,2,yes,No,melanoma,E,NA,oncogene,Mis
SLC34A2,"solute carrier family 34 (sodium phosphate), member 2",1,yes,No,NSCLC,E,Dom,"TSG, fusion",Translocation
SLC45A3,"solute carrier family 45, member 3",1,yes,No,prostate,E,Dom,fusion,Translocation
SMAD2,SMAD family member 2,1,yes,No,"colorectal carcinoma, hepatocellular carcinoma",E,Rec,TSG,"Mis, N"
SMAD3,SMAD family member 3,1,yes,No,"colorectal carcinoma, oral squamous cell carcinoma",E,Rec,TSG,Mis
SMAD4,SMAD family member 4,1,yes,yes,"colorectal, pancreatic, small intestine",E,Rec,TSG,"D, Mis, N, F"
SMARCA4,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4",1,yes,No,"NSCLC, SCCOHT",E,Rec,TSG,"F, N, Mis, S"
SMARCB1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1",1,yes,yes,malignant rhabdoid,M,Rec,TSG,"D, N, F, S"
SMARCD1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1",1,yes,No,breast,E,Rec,TSG,N
SMARCE1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1",1,No,yes,,O,Rec,TSG,"F, Mis, N"
SMC1A,structural maintenance of chromosomes 1A,2,yes,No,AML,L,NA,TSG,Mis
SMO,smoothened homolog (Drosophila),1,yes,No,skin basal cell,E,Dom,oncogene,Mis
SND1,staphylococcal nuclease and tudor domain containing 1,1,yes,No,pancreas acinar carcinoma,E,Dom,"oncogene, fusion",Translocation
SOCS1,suppressor of cytokine signaling 1,1,yes,No,"Hodgkin lymphoma, PMBL",L,Rec,TSG,"F, O"
SOX2,SRY (sex determining region Y)-box 2,1,yes,No,"NSCLC, oesophageal squamous carcinoma",E,Dom,oncogene,A
SOX21,SRY-box 21,2,yes,No,multiple myeloma,L,NA,TSG,D
SPECC1,sperm antigen with calponin homology and coiled-coil domains 1,2,yes,No,JMML,L,Dom,fusion,Translocation
SPEN,spen family transcriptional repressor,1,yes,No,"SMZL, adenoid cystic carcinoma, DLBCL",L,Rec,TSG,"F, Mis, N"
SPOP,speckle type POZ protein,1,yes,yes,"prostate, endometrial",E,Rec,TSG,Mis
SRC,"SRC proto-oncogene, non-receptor tyrosine kinase",1,yes,No,"colorectal cancer, endometrial carcinoma",E,Dom,oncogene,"Mis, N"
SRGAP3,SLIT-ROBO Rho GTPase activating protein 3,2,yes,No,pilocytic astrocytoma,O,Dom,fusion,Translocation
SRSF2,serine/arginine-rich splicing factor 2,1,yes,No,"MDS, CLL",L,Dom,oncogene,Mis
SRSF3,serine/arginine-rich splicing factor 3,1,yes,No,follicular lymphoma,L,Dom,"oncogene, fusion",Translocation
SS18,"synovial sarcoma translocation, chromosome 18",1,yes,No,synovial sarcoma,M,Dom,fusion,Translocation
SS18L1,synovial sarcoma translocation gene on chromosome 18-like 1,1,yes,No,synovial sarcoma,M,Dom,fusion,Translocation
SSX1,"synovial sarcoma, X breakpoint 1",1,yes,No,synovial sarcoma,M,Dom,"oncogene, fusion",Translocation
SSX2,"synovial sarcoma, X breakpoint 2",1,yes,No,synovial sarcoma,M,Dom,"oncogene, fusion",Translocation
SSX4,"synovial sarcoma, X breakpoint 4",1,yes,No,synovial sarcoma,M,Dom,"oncogene, fusion",Translocation
STAG1,stromal antigen 1,2,yes,No,"colorectal cancer, AML","E, L",NA,TSG,"Mis, N"
STAG2,stromal antigen 2,1,yes,No,"bladder carcinoma, glioblastoma, melanoma, Ewing's sarcoma, myeloid neoplasms","E, L, M, O",Rec,TSG,"Mis, N, F, S"
STAT3,signal transducer and activator of transcription 3 (acute-phase response factor),1,yes,yes,T-cell large granular lymphocytic leukaemia,L,Dom,oncogene,"Mis,O"
STAT5B,signal transducer and activator of transcription 5B,1,yes,No,"large granular lymphocytic leukaemia, skin basal cell, APL","L, E",Dom,"oncogene, TSG, fusion","Mis, O, Translocation"
STAT6,"signal transducer and activator of transcription 6, interleukin-4 induced",1,yes,No,"solitary fibrous tumour, meningeal haemangiopericytoma","M, O",Dom,"oncogene, fusion",Translocation
STIL,SCL/TAL1 interrupting locus,1,yes,No,T-ALL,L,Dom,"oncogene, fusion",Translocation
STK11,serine/threonine kinase 11 gene (LKB1),1,yes,yes,"NSCLC, pancreatic","E, M, O",Rec,TSG,"D, Mis, N, F, S"
STRN,"striatin, calmodulin binding protein",1,yes,No,"anaplastic thyroid, papillary thyroid, lung",E,Dom,fusion,Translocation
SUFU,suppressor of fused homolog (Drosophila),1,yes,yes,medulloblastoma,O,Rec,TSG,"D, F, S"
SUZ12,suppressor of zeste 12 homolog (Drosophila),1,yes,No,endometrial stromal tumour,M,Dom,"oncogene, TSG, fusion",Translocation
SYK,spleen tyrosine kinase,1,yes,No,"MDS, peripheral T-cell lymphoma",L,Dom,"oncogene, fusion",Translocation
TAF15,"TAF15 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 68kDa",1,yes,No,"extraskeletal myxoid chondrosarcoma, ALL","L, M",Dom,"oncogene, fusion",Translocation
TAL1,T-cell acute lymphocytic leukemia 1 (SCL),1,yes,No,lymphoblastic leukaemia/biphasic,L,Dom,"oncogene, fusion",Translocation
TAL2,T-cell acute lymphocytic leukemia 2,1,yes,No,T-ALL,L,Dom,"oncogene, fusion",Translocation
TBL1XR1,transducin (beta)-like 1 X-linked receptor 1,1,yes,No,"splenic marginal zone lymphoma, primary central nervous system lymphoma, colorectal carcinoma, gallbladder carcinoma","L, E, M",Rec,"oncogene, TSG, fusion","F, Mis"
TBX3,T-box 3,1,yes,No,"breast, large intestine, skin",E,Dom,"oncogene, TSG","Mis, N, F, O"
TCEA1,"transcription elongation factor A (SII), 1",1,yes,No,salivary adenoma,E,Dom,fusion,Translocation
TCF12,"transcription factor 12 (HTF4, helix-loop-helix transcription factors 4)",1,yes,No,extraskeletal myxoid chondrosarcoma,M,Dom,fusion,Translocation
TCF3,transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47),1,yes,No,pre B-ALL,L,Dom,"oncogene, TSG, fusion",Translocation
TCF7L2,transcription factor 7-like 2,1,yes,No,colorectal,E,Dom,"oncogene, fusion",Translocation
TCL1A,T-cell leukemia/lymphoma 1A,1,yes,No,T-CLL,L,Dom,"oncogene, fusion",Translocation
TEC,tec protein tyrosine kinase,2,yes,No,myxoid chondrosarcoma,M,NA,"oncogene, fusion",Translocation
TERT,telomerase reverse transcriptase,1,yes,yes,"melanoma, glioblastoma, hepatocellular carcinoma, bladder, skin basal cell, skin squamous cell, mesothelioma, medulloblastoma, other tumour types","E, O",Dom,"oncogene, TSG",Promoter Mis
TET1,tet methylcytosine dioxygenase 1,1,yes,No,AML,L,Dom,"oncogene, TSG, fusion",Translocation
TET2,tet oncogene family member 2,1,yes,No,MDS,L,Rec,TSG,"Mis, N, F"
TFE3,transcription factor binding to IGHM enhancer 3,1,yes,No,"papillary renal, alveolar soft part sarcoma, renal",E,Dom,"oncogene, fusion",Translocation
TFEB,transcription factor EB,1,yes,No,renal cell carcinoma (childhood epithelioid),"E,M",Dom,"oncogene, fusion",Translocation
TFG,TRK-fused gene,1,yes,No,"papillary thyroid, ALCL, NSCLC, extraskeletal myxoid chondrosarcoma","E, L, M",Dom,fusion,Translocation
TFPT,TCF3 (E2A) fusion partner (in childhood leukaemia),2,yes,No,pre-B ALL,L,Dom,fusion,Translocation
TFRC,"transferrin receptor (p90, CD71)",2,yes,No,NHL,L,Dom,fusion,Translocation
TGFBR2,transforming growth factor beta receptor II,1,yes,yes,"head and neck, colorectal",E,Rec,TSG,"Mis, F, N"
THRAP3,thyroid hormone receptor associated protein 3 (TRAP150),2,yes,No,aneurysmal bone cyst,M,Dom,fusion,Translocation
TLX1,"T-cell leukemia, homeobox 1 (HOX11)",1,yes,No,T-ALL,L,Dom,"oncogene, fusion",Translocation
TLX3,"T-cell leukemia, homeobox 3 (HOX11L2)",1,yes,No,T-ALL,L,Dom,"oncogene, fusion",Translocation
TMEM127,transmembrane protein 127,1,No,yes,,"O, E",Rec,TSG,"F, N"
TMPRSS2,"transmembrane protease, serine 2",1,yes,No,prostate,E,Dom,fusion,Translocation
TNC,tenascin C,2,yes,No,"SCC, melanoma",E,NA,oncogene,Mis
TNFAIP3,"tumor necrosis factor, alpha-induced protein 3",1,yes,No,"marginal zone B-cell lymphomas, Hodgkin lymphoma, PMBL",L,Rec,TSG,"D, N, F"
